School,"City, State",SR key,NCAA key,NCAA School,NCAA Name,background-color
Dickinson College Red Devils,"Carlisle, Pennsylvania",dickinson-college,dickinson,Dickinson,Dickinson College,#f42536
Drake,"Des Moines, Iowa",drake,drake,Drake,Drake University,#002F6C
Drexel,"Philadelphia, Pennsylvania",drexel,drexel,Drexel,Drexel University,#1D2D4F
Duke,"Durham, North Carolina",duke,duke,Duke,Duke University,#002D72
Duquesne,"Pittsburgh, Pennsylvania",duquesne,duquesne,Duquesne,Duquesne University,#BA0C2F
East Carolina,"Greenville, North Carolina",east-carolina,east-carolina,East Carolina,East Carolina University,#582C83
East Central Tigers,"Ada, Oklahoma",east-central,east-central,East Central,East Central University,#010101
East Tennessee State,"Johnson City, Tennessee",east-tennessee-state,east-tenn-st,East Tenn. St.,East Tennessee State University,#041E42
Eastern Illinois,"Charleston, Illinois",eastern-illinois,eastern-ill,Eastern Ill.,Eastern Illinois University,#003594
Eastern Kentucky,"Richmond, Kentucky",eastern-kentucky,eastern-ky,Eastern Ky.,Eastern Kentucky University,#6F263D
Eastern Michigan,"Ypsilanti, Michigan",eastern-michigan,eastern-mich,Eastern Mich.,Eastern Michigan University,#046A38
Eastern Washington,"Cheney, Washington",eastern-washington,eastern-wash,Eastern Wash.,Eastern Washington University,#A6192E
Elon,"Elon, North Carolina",elon,elon,Elon,Elon University,#76232F
Emporia State Hornets,"Emporia, Kansas",emporia-state,emporia-st,Emporia St.,Emporia State University,#010101
Ensign College,"Salt Lake City, Utah",latter-day-saints-university,,,,
Evansville,"Evansville, Indiana",evansville,evansville,Evansville,University of Evansville,#470A68
Fairfield,"Fairfield, Connecticut",fairfield,fairfield,Fairfield,Fairfield University,#C8102E
Fairleigh Dickinson,"Teaneck, New Jersey",fairleigh-dickinson,fairleigh-dickinson,Fairleigh Dickinson,Fairleigh Dickinson University,#72293c
Florida,"Gainesville, Florida",florida,florida,Florida,University of Florida,#003087
